	CS1-bacterial	CS2-bacterial	CS3-bacterial	FS1-bacterial	FS2-bacterial	FS3-bacterial	SC1-bacterial	SC2-bacterial	SC3-bacterial	WS1-bacterial	WS2-bacterial	WS3-bacterial
ASV_3397	0	0	0	0	0	0	28	34	41	0	17	13
ASV_3398	41	20	31	0	0	0	0	0	0	23	17	0
ASV_3399	39	16	33	0	0	0	0	0	0	13	19	12
ASV_3400	30	12	19	0	0	0	0	0	10	23	23	15
ASV_3401	30	25	13	0	0	0	0	22	0	34	8	0
ASV_3402	30	9	0	0	0	38	0	0	11	20	17	7
ASV_3403	29	15	22	0	0	0	0	0	0	14	33	19
ASV_3404	29	24	15	0	0	0	29	35	0	0	0	0
ASV_3405	21	13	18	0	0	0	0	0	0	16	39	25
ASV_3406	20	15	0	54	1	19	0	23	0	0	0	0
ASV_3407	17	13	12	0	0	0	0	0	0	28	36	26
ASV_3408	13	11	33	6	0	0	0	0	0	42	0	27
ASV_3409	0	18	31	29	16	0	0	16	5	0	0	17
ASV_3410	0	0	36	0	15	0	0	27	0	12	19	23
ASV_3411	0	0	33	46	32	0	0	0	0	21	0	0
ASV_3412	0	0	19	0	0	0	0	21	0	19	43	30
ASV_3413	0	0	17	26	23	0	0	14	0	8	24	20
ASV_3414	0	0	16	34	24	0	0	0	0	24	17	17
ASV_3415	0	0	0	96	36	0	0	0	0	0	0	0
ASV_3416	0	0	0	74	58	0	0	0	0	0	0	0
ASV_3417	0	0	0	33	36	0	0	25	38	0	0	0
ASV_3418	0	0	0	0	0	0	61	29	42	0	0	0
ASV_3419	0	0	0	0	0	0	0	0	0	37	48	47
ASV_3420	42	20	30	0	0	0	0	0	0	17	9	13
ASV_3421	39	29	0	0	1	0	0	0	0	0	31	31
ASV_3422	33	0	33	0	23	0	0	0	0	25	17	0
ASV_3423	31	25	10	27	0	0	0	4	1	5	21	7
ASV_3424	25	29	19	15	15	0	0	0	0	15	13	0
ASV_3425	23	15	38	0	0	0	0	0	0	18	18	19
ASV_3426	14	18	16	0	0	0	0	0	0	26	29	28
ASV_3427	12	0	10	32	36	10	0	12	0	14	5	0
ASV_3428	8	0	17	0	0	0	0	8	0	51	26	21
ASV_3429	5	3	4	28	12	8	9	27	0	9	12	14
ASV_3430	4	0	14	26	20	0	0	16	0	23	17	11
ASV_3431	0	15	14	0	29	0	0	16	0	0	30	27
ASV_3432	0	13	29	28	30	15	0	0	0	0	16	0
ASV_3433	0	7	11	40	15	0	0	0	0	18	24	16
ASV_3434	0	0	33	0	0	0	0	0	0	38	35	25
ASV_3435	0	0	30	0	24	0	0	0	0	21	27	29
ASV_3436	0	0	27	45	14	0	0	0	0	25	20	0
ASV_3437	0	0	16	0	0	0	0	0	0	51	30	34
ASV_3438	0	0	0	64	67	0	0	0	0	0	0	0
ASV_3439	0	0	0	56	47	17	0	0	0	0	11	0
ASV_3440	0	0	0	14	0	0	0	0	0	54	41	22
ASV_3441	38	28	21	43	0	0	0	0	0	0	0	0
ASV_3442	26	0	21	0	12	0	0	0	0	31	19	21
ASV_3443	24	0	27	38	19	0	0	0	0	22	0	0
ASV_3444	18	0	21	27	0	0	0	0	0	26	19	19
ASV_3445	16	17	46	0	0	0	0	0	0	28	23	0
ASV_3446	15	0	20	0	0	0	0	21	0	26	18	30
ASV_3447	14	15	9	0	0	0	10	17	16	20	9	20
ASV_3448	9	0	0	57	27	29	0	0	0	0	8	0
ASV_3449	0	21	50	0	0	0	0	0	0	28	0	31
ASV_3450	0	13	49	36	21	0	0	11	0	0	0	0
ASV_3451	0	9	12	0	0	0	0	13	0	32	39	25
ASV_3452	0	7	13	0	6	0	0	0	0	45	27	32
ASV_3453	0	0	11	0	17	0	40	21	41	0	0	0
ASV_3454	0	0	0	65	0	0	0	0	0	65	0	0
ASV_3455	0	0	0	40	30	19	0	24	17	0	0	0
ASV_3456	0	0	0	29	56	15	0	16	0	0	0	14
ASV_3457	0	0	0	16	21	20	21	28	24	0	0	0
ASV_3458	0	0	0	0	0	0	55	75	0	0	0	0
ASV_3459	0	0	0	0	0	0	0	0	0	35	46	49
ASV_3460	49	14	34	15	0	0	0	0	0	0	17	0
ASV_3461	34	26	0	0	0	0	0	69	0	0	0	0
ASV_3462	32	24	29	0	0	0	0	12	11	12	9	0
ASV_3463	27	12	33	0	0	0	0	0	0	19	26	12
ASV_3464	20	13	17	0	0	0	0	19	32	14	0	14
ASV_3465	11	16	0	45	7	17	0	13	0	2	11	7
ASV_3466	0	17	0	0	7	0	0	0	0	54	31	20
ASV_3467	0	16	23	0	24	0	0	0	0	23	24	19
ASV_3468	0	9	38	33	16	0	0	0	0	15	18	0
ASV_3469	0	9	9	0	0	0	36	22	22	9	10	12
ASV_3470	0	0	57	0	0	0	0	0	0	23	26	23
ASV_3471	0	0	24	34	37	0	0	0	0	10	11	13
ASV_3472	0	0	19	0	18	0	17	43	32	0	0	0
ASV_3473	0	0	2	0	0	0	0	0	3	37	49	38
ASV_3474	0	0	0	56	73	0	0	0	0	0	0	0
ASV_3475	0	0	0	34	65	0	0	30	0	0	0	0
ASV_3476	0	0	0	0	0	18	26	32	53	0	0	0
ASV_3477	0	0	0	0	0	0	0	0	0	53	37	39
ASV_3478	44	15	21	0	0	29	0	0	0	19	0	0
ASV_3479	30	0	19	32	8	13	26	0	0	0	0	0
ASV_3480	30	0	19	0	0	0	0	0	0	61	15	3
ASV_3481	29	0	35	0	0	0	23	0	26	0	0	15
ASV_3482	28	15	56	0	0	0	0	0	0	29	0	0
ASV_3483	25	0	11	15	15	0	0	18	0	11	22	11
ASV_3484	24	21	32	0	0	0	0	0	0	16	20	15
ASV_3485	20	10	13	9	0	0	0	11	0	16	26	23
ASV_3486	18	12	21	0	0	0	0	0	0	21	31	25
ASV_3487	18	0	24	0	24	12	0	0	0	0	26	24
ASV_3488	17	22	30	7	7	0	0	4	0	20	8	13
ASV_3489	7	0	17	0	0	0	18	37	20	19	10	0
ASV_3490	4	6	31	18	24	0	0	12	0	10	15	8
ASV_3491	0	17	29	0	8	0	19	21	34	0	0	0
ASV_3492	0	11	23	34	28	0	0	0	0	14	11	7
ASV_3493	0	11	18	12	27	30	0	0	0	0	0	30
ASV_3494	0	0	35	0	0	0	0	0	0	33	36	24
ASV_3495	0	0	34	0	0	0	0	52	42	0	0	0
ASV_3496	0	0	28	31	69	0	0	0	0	0	0	0
ASV_3497	0	0	24	0	0	0	0	25	0	31	29	19
ASV_3498	0	0	23	0	0	0	0	0	0	33	37	35
ASV_3499	0	0	0	74	54	0	0	0	0	0	0	0
ASV_3500	0	0	0	69	42	17	0	0	0	0	0	0
ASV_3501	0	0	0	57	58	13	0	0	0	0	0	0
ASV_3502	0	0	0	48	32	48	0	0	0	0	0	0
ASV_3503	0	0	0	47	55	0	0	0	0	0	26	0
ASV_3504	0	0	0	32	58	38	0	0	0	0	0	0
ASV_3505	0	0	0	19	52	32	0	0	25	0	0	0
ASV_3506	0	0	0	0	0	0	41	31	56	0	0	0
ASV_3507	0	0	0	0	0	0	8	76	4	18	22	0
ASV_3508	0	0	0	0	0	0	0	74	54	0	0	0
ASV_3509	0	0	0	0	0	0	0	0	0	71	0	57
ASV_3510	0	0	0	0	0	0	0	0	0	48	44	36
ASV_3511	63	35	29	0	0	0	0	0	0	0	0	0
ASV_3512	48	34	45	0	0	0	0	0	0	0	0	0
ASV_3513	40	16	29	13	0	0	0	15	0	0	0	14
ASV_3514	32	0	31	0	0	0	0	22	0	17	25	0
ASV_3515	31	0	37	0	5	0	0	13	13	0	28	0
ASV_3516	30	10	13	0	0	0	21	32	21	0	0	0
ASV_3517	29	0	14	0	0	0	0	0	0	18	25	41
ASV_3518	27	26	35	0	0	0	0	0	0	19	10	10
ASV_3519	25	17	23	34	28	0	0	0	0	0	0	0
ASV_3520	23	10	21	9	8	0	6	17	5	13	5	10
ASV_3521	20	18	17	10	6	0	0	5	4	20	19	8
ASV_3522	20	0	32	0	0	0	0	0	0	27	18	30
ASV_3523	19	0	16	0	31	16	14	0	17	0	0	14
ASV_3524	18	15	26	0	0	0	12	0	14	16	10	16
ASV_3525	11	16	14	47	26	11	0	0	0	0	2	0
ASV_3526	11	2	3	12	14	17	20	9	15	8	8	8
ASV_3527	11	8	7	32	32	18	0	0	0	19	0	0
ASV_3528	11	0	10	9	0	0	0	0	0	40	14	43
ASV_3529	10	8	8	13	12	8	12	0	8	11	20	17
ASV_3530	0	0	50	47	30	0	0	0	0	0	0	0
ASV_3531	0	0	28	18	17	16	0	12	0	0	0	36
ASV_3532	0	0	25	73	0	12	0	0	0	0	0	17
ASV_3533	0	0	19	33	55	20	0	0	0	0	0	0
ASV_3534	0	0	13	15	20	10	0	13	8	18	19	11
ASV_3535	0	0	0	0	0	0	0	0	0	71	22	34
ASV_3536	0	0	0	0	0	0	0	0	0	40	53	34
ASV_3537	0	0	0	0	0	0	0	0	0	36	21	70
ASV_3538	37	0	28	0	0	0	0	0	0	22	24	15
ASV_3539	26	0	16	0	0	0	16	0	0	30	18	20
ASV_3540	23	16	31	0	0	0	0	0	0	22	17	17
ASV_3541	23	17	0	17	0	0	0	0	0	14	30	25
ASV_3542	19	21	14	39	22	11	0	0	0	0	0	0
ASV_3543	19	11	15	0	0	0	16	12	0	14	16	23
ASV_3544	18	0	0	25	35	0	0	19	0	11	0	18
ASV_3545	15	9	15	31	16	24	0	0	0	5	8	3
ASV_3546	9	14	31	0	15	0	0	47	0	0	0	10
ASV_3547	0	18	32	0	0	0	0	0	0	23	29	24
ASV_3548	0	15	34	0	0	0	0	0	0	29	20	28
ASV_3549	0	12	20	21	20	0	0	0	0	27	26	0
ASV_3550	0	12	24	0	12	0	0	0	0	28	23	27
ASV_3551	0	12	51	32	0	0	0	0	0	0	31	0
ASV_3552	0	0	29	0	0	0	0	0	0	38	34	25
ASV_3553	0	0	29	0	0	0	0	16	0	35	32	14
ASV_3554	0	0	0	63	36	27	0	0	0	0	0	0
ASV_3555	0	0	0	60	47	19	0	0	0	0	0	0
ASV_3556	0	0	0	0	48	0	0	0	0	0	39	39
ASV_3557	0	0	0	0	0	0	13	18	18	31	31	15
ASV_3558	0	0	0	0	0	0	0	0	70	0	0	56
ASV_3559	0	0	0	0	0	0	0	0	0	55	40	31
ASV_3560	0	0	0	0	0	0	0	0	0	53	37	36
ASV_3561	0	0	0	0	0	0	0	0	0	49	44	33
ASV_3562	0	0	0	0	0	0	0	0	0	43	44	39
ASV_3563	44	28	12	0	0	0	0	39	0	1	0	1
ASV_3564	40	0	12	0	0	0	0	15	0	24	18	16
ASV_3565	15	7	6	0	0	0	0	14	14	9	15	45
ASV_3566	14	13	25	0	0	0	0	0	0	26	32	15
ASV_3567	13	14	34	0	0	0	0	0	0	20	31	13
ASV_3568	13	7	12	7	0	0	0	11	19	21	21	14
ASV_3569	11	11	33	0	0	0	0	0	0	23	25	22
ASV_3570	8	9	12	29	21	0	17	14	15	0	0	0
ASV_3571	0	22	19	0	0	0	0	0	0	33	19	32
ASV_3572	0	12	11	26	32	14	0	9	0	13	0	8
ASV_3573	0	8	32	0	0	0	0	0	0	22	30	33
ASV_3574	0	3	13	5	0	0	0	0	0	35	40	29
ASV_3575	0	0	53	39	33	0	0	0	0	0	0	0
ASV_3576	0	0	38	0	33	0	0	35	0	19	0	0
ASV_3577	0	0	24	41	36	3	0	0	0	6	10	5
ASV_3578	0	0	23	0	0	0	0	14	0	28	30	30
ASV_3579	0	0	16	45	64	0	0	0	0	0	0	0
ASV_3580	0	0	15	0	0	0	16	18	21	13	26	16
ASV_3581	0	0	0	46	21	31	0	0	27	0	0	0
ASV_3582	0	0	0	43	15	4	0	16	6	18	23	0
ASV_3583	0	0	0	0	0	0	22	14	20	0	34	35
ASV_3584	0	0	0	0	0	0	0	19	0	40	32	34
ASV_3585	0	0	0	0	0	0	0	0	0	40	57	28
ASV_3586	0	0	0	0	0	0	0	0	0	0	19	106
ASV_3587	42	41	0	28	6	3	0	0	0	1	2	1
ASV_3588	29	0	0	27	31	37	0	0	0	0	0	0
ASV_3589	16	11	9	29	29	25	0	0	0	0	0	5
ASV_3590	14	17	32	29	23	9	0	0	0	0	0	0
ASV_3591	12	0	19	13	7	8	10	10	0	15	14	16
ASV_3592	11	15	27	13	21	0	0	0	0	15	11	11
ASV_3593	10	0	17	19	12	11	9	18	8	0	12	8
ASV_3594	0	0	18	50	56	0	0	0	0	0	0	0
ASV_3595	0	0	17	0	0	0	0	24	0	24	21	38
ASV_3596	0	0	11	9	11	0	0	28	0	26	20	19
ASV_3597	0	0	0	51	61	0	0	12	0	0	0	0
ASV_3598	0	0	0	39	77	8	0	0	0	0	0	0
ASV_3599	0	0	0	0	0	0	28	33	42	0	21	0
ASV_3600	0	0	0	0	0	0	0	0	0	0	0	124
ASV_3601	21	0	36	0	0	0	0	19	0	0	11	36
ASV_3602	19	18	14	0	0	0	0	0	0	19	20	33
ASV_3603	19	0	25	0	15	0	4	25	0	35	0	0
ASV_3604	18	10	19	14	7	0	0	14	0	18	23	0
ASV_3605	17	11	14	23	6	7	0	0	6	14	12	13
ASV_3606	0	10	36	0	77	0	0	0	0	0	0	0
ASV_3607	0	8	29	0	4	0	0	0	0	33	34	15
ASV_3608	0	0	123	0	0	0	0	0	0	0	0	0
ASV_3609	0	0	29	0	19	0	0	0	0	29	19	27
ASV_3610	0	0	11	0	0	0	24	30	35	23	0	0
ASV_3611	0	0	0	61	39	0	0	23	0	0	0	0
ASV_3612	0	0	0	27	9	0	0	62	25	0	0	0
ASV_3613	0	0	0	27	19	16	22	0	39	0	0	0
ASV_3614	0	0	0	25	0	0	0	0	0	31	39	28
ASV_3615	0	0	0	0	0	0	46	58	19	0	0	0
ASV_3616	0	0	0	0	0	0	0	0	0	53	0	70
ASV_3617	84	16	22	0	0	0	0	0	0	0	0	0
ASV_3618	34	44	44	0	0	0	0	0	0	0	0	0
ASV_3619	28	19	0	26	0	0	0	0	0	14	21	14
ASV_3620	26	16	12	14	8	6	0	0	0	18	10	12
ASV_3621	19	10	0	0	0	0	19	21	23	9	11	10
ASV_3622	18	13	9	27	26	4	0	0	0	13	0	12
ASV_3623	14	15	19	0	0	0	26	27	12	0	0	9
ASV_3624	13	6	18	0	0	0	0	0	0	14	40	31
ASV_3625	12	13	1	1	0	23	15	0	16	13	15	13
ASV_3626	9	6	24	19	20	0	0	7	0	16	11	10
ASV_3627	7	9	3	32	21	0	13	0	20	6	7	4
ASV_3628	2	0	9	0	0	0	36	51	0	8	10	6
ASV_3629	0	36	0	0	0	0	0	0	0	33	21	32
ASV_3630	0	18	36	24	24	0	0	0	0	20	0	0
ASV_3631	0	16	20	16	20	0	0	0	0	17	20	13
ASV_3632	0	10	0	0	26	0	41	0	0	0	19	26
ASV_3633	0	2	5	32	3	16	0	0	0	3	32	29
ASV_3634	0	0	31	0	0	0	0	12	0	18	34	27
ASV_3635	0	0	28	23	19	0	0	0	0	20	14	18
ASV_3636	0	0	26	0	0	0	0	0	0	40	37	19
ASV_3637	0	0	18	0	11	0	0	14	0	41	21	17
ASV_3638	0	0	12	26	0	0	19	22	23	9	11	0
ASV_3639	0	0	0	13	14	0	0	0	0	30	33	32
ASV_3640	0	0	0	6	0	7	28	53	28	0	0	0
ASV_3641	0	0	0	0	14	16	22	17	31	22	0	0
ASV_3642	0	0	0	0	0	0	82	22	0	18	0	0
ASV_3643	0	0	0	0	0	0	51	23	48	0	0	0
ASV_3644	0	0	0	0	0	0	0	38	0	45	39	0
ASV_3645	0	0	0	0	0	0	0	10	0	40	29	43
ASV_3646	38	22	17	0	0	0	8	0	0	0	21	15
ASV_3647	27	0	23	0	0	0	0	0	0	17	39	15
ASV_3648	26	24	5	28	2	0	10	15	0	6	3	2
ASV_3649	19	20	19	0	0	0	0	0	0	19	25	19
ASV_3650	17	11	13	10	0	10	9	13	13	16	0	9
ASV_3651	15	20	9	0	0	0	5	19	0	0	21	32
ASV_3652	0	21	36	23	0	0	0	0	0	0	23	18
ASV_3653	0	15	0	0	0	0	0	0	0	29	46	31
ASV_3654	0	12	27	0	0	0	18	0	0	24	18	22
ASV_3655	0	9	24	0	0	0	0	13	0	35	20	20
ASV_3656	0	0	40	0	0	0	0	0	0	21	28	32
ASV_3657	0	0	28	0	0	0	0	0	0	39	25	29
ASV_3658	0	0	15	0	0	0	0	0	0	34	37	35
ASV_3659	0	0	14	46	51	10	0	0	0	0	0	0
ASV_3660	0	0	11	19	0	0	0	0	0	37	29	25
ASV_3661	0	0	0	33	14	6	18	0	10	19	13	8
ASV_3662	0	0	0	0	0	0	37	40	44	0	0	0
ASV_3663	0	0	0	0	0	0	0	0	0	35	42	44
ASV_3664	40	27	35	0	0	0	13	0	0	0	0	5
ASV_3665	23	14	35	0	0	0	0	0	0	26	22	0
ASV_3666	22	0	11	0	0	0	0	24	0	14	27	22
ASV_3667	19	20	11	0	0	0	0	0	0	25	24	21
ASV_3668	12	5	7	11	13	15	0	8	0	17	14	18
ASV_3669	11	0	17	38	29	25	0	0	0	0	0	0
ASV_3670	11	8	30	0	0	0	0	56	15	0	0	0
ASV_3671	10	9	0	23	28	16	11	5	18	0	0	0
ASV_3672	0	10	46	0	0	0	0	22	0	0	42	0
ASV_3673	0	8	26	20	22	0	0	16	0	17	11	0
ASV_3674	0	0	48	0	0	0	0	0	0	44	28	0
ASV_3675	0	0	33	0	25	0	0	0	0	25	18	19
ASV_3676	0	0	28	0	0	0	0	0	7	27	34	24
ASV_3677	0	0	25	32	12	0	0	18	0	14	0	19
ASV_3678	0	0	25	0	0	0	0	0	0	42	28	25
ASV_3679	0	0	22	0	0	0	18	22	12	19	0	27
ASV_3680	0	0	17	0	0	0	0	4	0	34	33	32
ASV_3681	0	0	17	0	0	0	0	0	0	37	30	36
ASV_3682	0	0	0	60	60	0	0	0	0	0	0	0
ASV_3683	0	0	0	32	30	24	0	0	0	19	0	15
ASV_3684	0	0	0	20	15	21	15	13	32	4	0	0
ASV_3685	0	0	0	0	0	0	0	38	0	54	28	0
ASV_3686	32	31	43	0	0	0	0	0	0	0	0	13
ASV_3687	31	0	0	0	25	0	0	0	0	21	0	42
ASV_3688	29	0	39	0	0	0	0	0	0	0	37	14
ASV_3689	25	25	33	12	12	0	0	0	0	12	0	0
ASV_3690	23	18	23	0	0	21	0	0	0	20	14	0
ASV_3691	21	18	19	0	0	0	26	0	0	10	25	0
ASV_3692	18	0	31	0	0	0	0	18	0	21	17	14
ASV_3693	17	20	27	0	0	0	0	0	0	22	14	19
ASV_3694	15	0	16	0	0	0	13	5	10	12	18	30
ASV_3695	13	0	23	31	15	0	0	17	7	0	13	0
ASV_3696	13	0	30	0	0	0	0	0	0	36	19	21
ASV_3697	13	0	27	0	0	0	0	0	0	27	41	11
ASV_3698	10	8	13	0	28	31	5	0	4	7	6	7
ASV_3699	9	8	0	24	19	13	0	13	18	15	0	0
ASV_3700	0	26	30	0	28	0	0	0	0	35	0	0
ASV_3701	0	24	55	0	14	0	0	0	0	0	26	0
ASV_3702	0	14	12	0	0	0	8	0	14	40	13	18
ASV_3703	0	0	39	0	50	0	0	0	0	30	0	0
ASV_3704	0	0	38	0	0	0	0	0	0	16	24	41
ASV_3705	0	0	22	57	40	0	0	0	0	0	0	0
ASV_3706	0	0	21	35	34	0	0	16	0	0	0	13
ASV_3707	0	0	10	17	0	0	29	0	0	34	0	29
ASV_3708	0	0	0	33	26	24	0	0	0	11	13	12
ASV_3709	0	0	0	14	30	16	0	29	22	8	0	0
ASV_3710	0	0	0	0	0	0	15	0	0	30	30	44
ASV_3711	0	0	0	0	0	0	0	31	0	32	29	27
ASV_3712	0	0	0	0	0	0	0	0	0	48	39	32
ASV_3713	0	0	0	0	0	0	0	0	0	44	44	31
ASV_3714	0	0	0	0	0	0	0	0	0	37	29	53
ASV_3715	67	0	51	0	0	0	0	0	0	0	0	0
ASV_3716	46	0	0	25	20	19	0	7	0	1	0	0
ASV_3717	28	11	21	0	0	0	0	0	0	20	0	38
ASV_3718	27	19	17	27	0	0	0	0	0	0	28	0
ASV_3719	24	0	25	0	0	0	0	18	0	21	15	15
ASV_3720	23	18	0	24	0	0	0	0	0	7	28	18
ASV_3721	12	0	0	0	0	0	0	0	0	41	39	26
ASV_3722	8	7	0	16	15	0	0	11	0	18	12	31
ASV_3723	0	22	0	0	0	0	21	43	32	0	0	0
ASV_3724	0	8	18	18	13	0	0	0	0	18	30	13
ASV_3725	0	0	34	42	42	0	0	0	0	0	0	0
ASV_3726	0	0	32	0	0	0	0	0	0	52	0	34
ASV_3727	0	0	27	29	43	0	0	16	0	2	0	1
ASV_3728	0	0	23	22	14	0	0	0	0	35	11	13
ASV_3729	0	0	14	24	10	0	0	17	0	22	16	15
ASV_3730	0	0	7	49	31	0	0	0	0	12	6	13
ASV_3731	0	0	2	44	24	0	0	27	0	0	21	0
ASV_3732	0	0	0	69	49	0	0	0	0	0	0	0
ASV_3733	0	0	0	0	48	0	0	23	0	15	19	13
ASV_3734	0	0	0	0	0	0	55	63	0	0	0	0
ASV_3735	0	0	0	0	0	0	24	33	27	12	12	10
ASV_3736	0	0	0	0	0	0	0	0	0	42	38	38
ASV_3737	27	0	0	33	27	0	0	0	0	0	30	0
ASV_3738	25	16	40	0	0	0	0	0	0	22	0	14
ASV_3739	23	11	13	0	0	0	0	30	0	17	12	11
ASV_3740	23	0	38	1	3	0	1	4	3	0	15	29
ASV_3741	20	24	17	15	7	0	0	7	0	27	0	0
ASV_3742	19	0	0	0	0	0	0	0	0	30	31	37
ASV_3743	15	14	17	20	0	17	14	11	9	0	0	0
ASV_3744	14	0	0	53	14	0	0	0	0	17	0	19
ASV_3745	12	0	13	0	0	0	5	12	0	41	17	17
ASV_3746	11	8	16	0	13	0	0	14	11	17	19	8
ASV_3747	10	0	21	0	0	0	0	0	0	32	30	24
ASV_3748	10	5	45	0	0	0	0	16	0	28	13	0
ASV_3749	9	7	26	15	11	0	0	0	0	16	16	17
ASV_3750	8	8	13	14	23	20	8	8	10	0	5	0
ASV_3751	0	7	18	16	12	0	0	3	0	20	20	21
ASV_3752	0	0	74	0	25	0	0	0	0	0	18	0
ASV_3753	0	0	66	51	0	0	0	0	0	0	0	0
ASV_3754	0	0	41	0	0	0	0	15	0	36	25	0
ASV_3755	0	0	30	27	39	0	0	0	0	0	21	0
ASV_3756	0	0	23	0	0	0	0	0	0	27	39	28
ASV_3757	0	0	22	18	16	0	0	0	0	22	18	21
ASV_3758	0	0	21	0	34	0	0	8	0	21	12	21
ASV_3759	0	0	16	0	0	0	0	0	0	34	38	29
ASV_3760	0	0	15	41	25	36	0	0	0	0	0	0
ASV_3761	0	0	14	50	33	0	0	20	0	0	0	0
ASV_3762	0	0	0	45	72	0	0	0	0	0	0	0
ASV_3763	0	0	0	44	0	0	0	0	0	31	42	0
ASV_3764	0	0	0	39	30	31	0	0	17	0	0	0
ASV_3765	0	0	0	29	21	0	0	0	0	19	27	21
ASV_3766	0	0	0	27	29	0	0	0	0	33	28	0
ASV_3767	0	0	0	26	31	0	0	38	0	22	0	0
ASV_3768	0	0	0	20	17	21	23	5	22	9	0	0
ASV_3769	0	0	0	0	0	0	23	28	28	0	0	38
ASV_3770	0	0	0	0	0	0	0	0	0	42	40	35
ASV_3771	0	0	0	0	0	0	0	0	0	41	31	45
ASV_3772	0	0	0	0	0	0	0	0	0	32	62	23
ASV_3773	46	0	35	0	0	0	0	0	35	0	0	0
ASV_3774	34	9	17	13	0	0	0	0	0	14	22	7
ASV_3775	33	24	34	0	0	0	0	0	0	12	13	0
ASV_3776	32	22	26	36	0	0	0	0	0	0	0	0
ASV_3777	26	11	45	0	0	0	0	34	0	0	0	0
ASV_3778	25	15	25	0	0	0	0	10	0	16	25	0
ASV_3779	25	0	16	0	18	0	0	0	0	14	25	18
ASV_3780	23	7	5	37	24	11	0	0	0	0	0	9
ASV_3781	23	0	36	0	0	0	22	16	0	19	0	0
ASV_3782	23	12	18	0	0	0	0	13	12	0	14	24
ASV_3783	19	12	25	0	0	0	0	0	0	33	27	0
ASV_3784	16	14	25	25	11	0	0	0	0	25	0	0
ASV_3785	16	11	16	0	0	0	0	0	0	27	24	22
ASV_3786	16	12	35	11	8	9	0	0	0	8	8	9
ASV_3787	13	11	17	0	27	0	0	8	0	12	15	13
ASV_3788	7	9	5	29	29	8	0	6	0	14	0	9
ASV_3789	3	11	23	34	22	0	0	0	0	0	11	12
ASV_3790	0	14	36	0	0	0	0	0	0	0	32	34
ASV_3791	0	4	0	56	36	14	0	0	0	6	0	0
ASV_3792	0	1	1	0	0	0	60	29	25	0	0	0
ASV_3793	0	0	31	0	0	0	0	0	0	55	30	0
ASV_3794	0	0	28	0	35	0	0	0	0	27	16	10
ASV_3795	0	0	25	0	0	0	0	0	0	38	21	32
ASV_3796	0	0	24	0	0	0	0	19	0	20	20	33
ASV_3797	0	0	23	0	23	0	0	15	0	13	20	22
ASV_3798	0	0	17	35	32	0	0	0	0	13	19	0
ASV_3799	0	0	17	0	11	0	21	20	32	0	15	0
ASV_3800	0	0	14	0	0	0	0	0	0	87	15	0
ASV_3801	0	0	0	48	0	0	0	0	0	24	22	22
ASV_3802	0	0	0	34	64	18	0	0	0	0	0	0
ASV_3803	0	0	0	22	21	28	0	0	0	21	0	24
ASV_3804	0	0	0	13	43	0	0	16	0	16	11	17
ASV_3805	0	0	0	0	66	50	0	0	0	0	0	0
ASV_3806	0	0	0	0	0	0	0	53	0	39	10	14
ASV_3807	0	0	0	0	0	0	0	22	0	21	23	50
ASV_3808	0	0	0	0	0	0	0	0	0	61	0	55
ASV_3809	0	0	0	0	0	0	0	0	0	45	41	30
ASV_3810	0	0	0	0	0	0	0	0	0	31	38	47
ASV_3811	38	0	0	0	15	0	0	0	0	42	20	0
ASV_3812	37	22	29	0	0	0	0	0	0	27	0	0
ASV_3813	29	14	31	0	13	0	0	0	0	11	17	0
ASV_3814	22	10	21	10	6	0	0	0	0	7	26	13
ASV_3815	22	22	26	0	0	0	0	10	0	21	14	0
ASV_3816	20	22	26	0	16	0	0	0	0	0	15	16
ASV_3817	19	10	9	12	20	7	0	0	0	16	16	6
ASV_3818	17	0	29	0	0	0	0	0	0	18	16	35
ASV_3819	16	9	13	22	32	13	0	0	0	10	0	0
ASV_3820	15	8	31	0	0	0	0	16	0	35	0	10
ASV_3821	12	10	12	0	0	0	36	11	22	6	5	1
ASV_3822	11	6	15	26	17	9	0	0	7	0	8	16
ASV_3823	11	0	24	36	44	0	0	0	0	0	0	0
ASV_3824	11	0	39	0	0	0	0	18	0	17	9	21
ASV_3825	11	0	22	15	0	0	0	0	0	26	24	17
ASV_3826	10	9	16	0	0	0	0	14	0	27	20	19
ASV_3827	0	11	8	18	0	20	0	30	0	11	17	0
ASV_3828	0	5	1	0	0	12	12	29	22	1	15	18
ASV_3829	0	0	43	0	0	0	0	17	0	0	27	28
ASV_3830	0	0	36	0	0	0	0	0	0	29	27	23
ASV_3831	0	0	21	17	15	0	0	10	0	19	15	18
ASV_3832	0	0	7	10	36	31	4	0	6	0	0	21
ASV_3833	0	0	6	34	66	9	0	0	0	0	0	0
ASV_3834	0	0	0	76	39	0	0	0	0	0	0	0
ASV_3835	0	0	0	46	0	0	0	0	0	36	0	33
ASV_3836	0	0	0	32	29	0	0	20	0	0	6	28
ASV_3837	0	0	0	19	12	7	13	59	5	0	0	0
ASV_3838	0	0	0	0	0	0	75	0	0	0	40	0
ASV_3839	0	0	0	0	0	0	18	0	0	44	53	0
ASV_3840	29	2	11	15	15	20	6	5	10	1	0	0
ASV_3841	28	0	17	13	11	11	0	0	0	19	9	6
ASV_3842	24	0	17	28	0	0	0	0	0	23	0	22
ASV_3843	22	0	16	20	10	15	0	0	0	10	11	10
ASV_3844	18	13	19	0	0	0	0	0	0	26	25	13
